Part,Ward,Booth Address,Total,
1500271,999,"Govt Higher Primary School, Room No 1, Chikka Bidara Kallu",987,
1500272,999,"Govt Higher Primary School, Room No 2, Chikka Bidarakallu",1130,
1500273,999,"Govt Higher Primary School, Room No 3, Chikka Bidarakallu",1033,
1500274,999,"Govt Higher Primary School, Room No 4, Chikka Bidarakallu",1108,
1500275,999,"Govt. High School, Room No 1, Chikka Bidarakallu",1205,
1500276,999,"Govt. High School, Room No 2, Chikka Bidarakallu",1170,
1500277,999,"Govt. High School, Room No 3, Chikka Bidarakallu",716,
1500278,999,"Govt. High School, Room No 4, Chikka Bidarakallu",677,
1500279,999,"Govt Higher primary School, Room No 1, Kudure Gere",992,
1500280,999,"Govt Higher primary School, Room No 3, Kudure Gere",930,
1500281,999,"Govt. Higher Primary School, Room No.2, Kudure Gere",974,
1500282,999,Adakamaranahalli Gramapanchayath Office Room No-1,1273,
1500283,999,Gramapanchayath Office Adakamaranahalli Room No-2,931,
1500284,999,Gramapanchayath Office Adakamaranahalli Room No-3,723,
1500285,999,"Govt High School Room No-1, Makali",1106,
1500286,999,"Govt High School Room No-2, Makalli",1119,
1500287,999,"Grama Panchayathi Office, Madanayaka Halli",1033,
1500288,999,"Govt Higher Primary School, Room No.-1 Madanayaka Halli",1006,
1500289,999,"Nada Office, Madanayakana Halli",1128,
1500290,999,"Govt. Higher Primary School, Room No.2, Madayanayaka Halli",1231,
1500291,999,"Govt. Higher Primary School, Room No.3, Madayanayaka Halli",691,
1500292,999,"Govt. Higher Primary School, Room No.4, Madayanayaka Halli",1321,
1500293,999,"Govt. Higher Primary School, Room No.5, Madanayakana Halli",980,
1500294,999,"Govt. Higher Primary School, Room No.6, Madanayakana Halli",1169,
1500295,999,"Govt. Higher Primary School, Room No.1, Thotada Guddada Halli",1120,
1500296,999,"Govt. Higher Primary School, Room No.2, Thotada Guddada Halli",1257,
1500297,999,"Govt. Higher Primary School, Room No.3, Thotada Guddada Halli",887,
1500298,999,"Govt. Higher Primary School, Room No.4, Thotada Guddada Halli",1076,
1500299,999,"Govt. Higher Primary School, Room No.1, Thammena Halli",846,
1500300,999,"Govt. Higher Primary School, Room No.2, Thammena Halli",848,
1500301,999,"Govt. High  School, Room No.1, Srikantapura",1212,
1500302,999,"Govt Higer Primary School, Room No-2, Srikantapura",1186,
1500303,999,"Govt. Higher Primary School, Room No.3, Srikanta Pura",1260,
1500304,999,"Govt. Higher Primary School, Room No.4, Srikanta Pura",1206,
1500305,999,"Govt. Higher Primary School, Room No.5, Srikanta Pura",1297,
1500306,999,"Govt. Higher Primary School, Room No.6, Srikanta Pura",1359,
1500307,999,"Govt. Higher Primary School, Room No.1, Siddana Hosahalli",1036,
